# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: D:\Faculdade\Circuitos_Digitais\inf01058-projetos\LAB03\ULA\ULA.csv
# Generated on: Wed Nov 15 23:07:16 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
A[3],Input,PIN_E3,1,B1_N0,PIN_E3,,,,,
A[2],Input,PIN_H7,1,B1_N0,PIN_H7,,,,,
A[1],Input,PIN_J7,1,B1_N1,PIN_J7,,,,,
A[0],Input,PIN_G5,1,B1_N0,PIN_G5,,,,,
B[3],Input,PIN_G4,1,B1_N0,PIN_G4,,,,,
B[2],Input,PIN_H6,1,B1_N0,PIN_H6,,,,,
B[1],Input,PIN_H5,1,B1_N0,PIN_H5,,,,,
B[0],Input,PIN_J6,1,B1_N0,PIN_J6,,,,,
N,Output,PIN_E1,1,B1_N0,PIN_E1,,,,,
OP_SEL[1],Input,PIN_D2,1,B1_N0,PIN_D2,,,,,
OP_SEL[0],Input,PIN_E4,1,B1_N0,PIN_E4,,,,,
S[3],Output,PIN_H1,1,B1_N1,PIN_H1,,,,,
S[2],Output,PIN_J3,1,B1_N1,PIN_J3,,,,,
S[1],Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
S[0],Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
Z,Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
